8.9	0.0964 -0.475 0.0964	-0.365 0.415 -0.365	0.268 0.06 0.268	
9	0.121 -0.537 0.121	-0.396 0.423 -0.396	0.275 0.115 0.275	
9.1	0.146 -0.593 0.146	-0.423 0.427 -0.423	0.277 0.166 0.277	
9.2	0.17 -0.642 0.17	-0.444 0.428 -0.444	0.274 0.214 0.274	
9.3	0.194 -0.685 0.194	-0.46 0.426 -0.46	0.267 0.26 0.267	
9.4	0.217 -0.724 0.217	-0.471 0.421 -0.471	0.254 0.303 0.254	
9.5	0.239 -0.758 0.239	-0.475 0.414 -0.475	0.236 0.345 0.236	
9.6	0.261 -0.789 0.261	-0.473 0.405 -0.473	0.212 0.384 0.212	
9.7	0.281 -0.816 0.281	-0.463 0.394 -0.463	0.182 0.422 0.182	
9.8	0.301 -0.84 0.301	-0.447 0.383 -0.447	0.146 0.457 0.146	
9.9	0.32 -0.861 0.32	-0.423 0.371 -0.423	0.103 0.49 0.103	
